time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-01T12:23:27.253Z,33.1244,98.9159,10,5.3,mww,,33,9.725,0.68,us,us70008kd8,2020-04-01T18:03:46.040Z,"78km ENE of Qumong, China",earthquake,8.2,1.8,0.073,18,reviewed,us,us
2020-04-01T09:32:47.106Z,51.3981,-178.439,51.1,4.9,mb,,129,0.281,1.01,us,us70008k8k,2020-04-01T17:35:40.910Z,"49km ENE of Amatignak Island, Alaska",earthquake,5.6,5.1,0.028,389,reviewed,us,us
2020-04-01T07:49:09.649Z,-3.2585,142.4792,57.52,4.5,mb,,67,5.028,0.62,us,us70008k5m,2020-04-01T10:03:19.040Z,"19km SE of Aitape, Papua New Guinea",earthquake,8.1,8.3,0.093,34,reviewed,us,us
2020-04-01T06:32:25.946Z,-54.3965,-136.1505,10,5.4,mb,,56,30.673,0.91,us,us70008k2a,2020-04-01T16:02:54.040Z,"Pacific-Antarctic Ridge",earthquake,11.8,1.9,0.037,250,reviewed,us,us
2020-04-01T05:50:15.232Z,-55.6627,-28.1382,10,5.2,mb,,107,5.005,0.6,us,us70008k0q,2020-04-01T06:06:21.040Z,"129km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.7,1.9,0.072,64,reviewed,us,us
2020-04-01T04:12:21.644Z,-45.5939,-76.817,10,4.9,mww,,104,3.181,1.29,us,us70008jyw,2020-04-01T05:01:48.040Z,"Off the coast of Aisen, Chile",earthquake,9,1.8,0.08,15,reviewed,us,us
2020-04-01T04:09:22.378Z,-45.5949,-76.5447,10,5.2,mww,,58,3.002,0.99,us,us70008jxh,2020-04-01T15:48:27.040Z,"291km W of Puerto Chacabuco, Chile",earthquake,7.2,1.8,0.053,34,reviewed,us,us
2020-04-01T00:27:41.065Z,44.32,-115.173,10,4.6,mb,,64,0.935,0.8,us,us70008js1,2020-04-01T21:18:54.397Z,"72km ESE of Cascade, Idaho",earthquake,2.6,1.9,0.072,57,reviewed,us,us
2020-03-31T23:52:31.037Z,44.4484,-115.1361,10,6.5,mww,,41,0.887,1.24,us,us70008jr5,2020-04-01T21:38:13.379Z,"72km W of Challis, Idaho",earthquake,3.8,1.9,0.033,87,reviewed,us,us
2020-03-31T20:33:28.000Z,-16.6432,-173.5632,81.4,4.8,mb,,69,4.224,0.96,us,us70008jl0,2020-04-01T04:36:09.062Z,"79km SSE of Hihifo, Tonga",earthquake,8.9,7.1,0.036,250,reviewed,us,us
2020-03-31T16:38:44.250Z,24.7431,128.0097,10,4.8,mb,,82,2.097,0.66,us,us70008jbj,2020-03-31T17:30:49.040Z,"156km SSE of Itoman, Japan",earthquake,9.5,1.9,0.113,24,reviewed,us,us
2020-03-31T11:24:00.211Z,36.3813,141.0864,36.24,4.9,mb,,120,2.294,0.58,us,us70008j5w,2020-04-01T11:14:14.210Z,"44km E of Oarai, Japan",earthquake,7.3,6.6,0.036,235,reviewed,us,us
2020-03-31T08:05:34.064Z,-7.672,127.3957,173.22,4.8,mb,,49,3.721,0.97,us,us70008j34,2020-03-31T08:22:02.040Z,"223km ENE of Dili, East Timor",earthquake,7.7,2.7,0.097,33,reviewed,us,us
2020-03-31T07:28:02.033Z,4.315,125.0526,68.04,4.6,mb,,104,2.786,1.33,us,us70008j2u,2020-03-31T08:07:44.040Z,"128km SSW of Sarangani, Philippines",earthquake,3.9,8.8,0.083,43,reviewed,us,us
2020-03-30T22:05:31.574Z,33.8414,141.7715,10,4.6,mb,,128,1.789,0.76,us,us70008iwi,2020-03-30T22:27:39.040Z,"196km SE of Katsuura, Japan",earthquake,4.5,1.9,0.132,17,reviewed,us,us
2020-03-30T21:01:34.308Z,-9.3011,123.7499,93.2,4.9,mb,,61,0.681,1.04,us,us70008iul,2020-03-30T21:17:18.040Z,"32km N of Naisano Dua, Indonesia",earthquake,8.3,7.7,0.089,40,reviewed,us,us
2020-03-30T17:54:40.421Z,-13.7926,66.1605,10,5.1,mb,,85,6.503,1.13,us,us70008iqd,2020-03-31T16:18:52.040Z,"Mid-Indian Ridge",earthquake,6.8,1.6,0.061,87,reviewed,us,us
2020-03-30T17:15:08.448Z,10.4091,-86.3113,10,4.6,mb,,160,0.797,1.15,us,us70008ipe,2020-03-30T20:41:10.040Z,"73km W of Sardinal, Costa Rica",earthquake,4.9,1.7,0.067,67,reviewed,us,us
2020-03-30T16:47:23.701Z,11.8172,-86.6055,85.51,4.7,mb,,131,0.44,0.82,us,us70008ip1,2020-03-31T04:49:40.849Z,"10km WNW of Masachapa, Nicaragua",earthquake,5.9,6.3,0.049,127,reviewed,us,us
2020-03-30T15:52:49.101Z,23.9885,123.4612,34.98,5.3,mww,,99,0.629,0.62,us,us70008ing,2020-03-30T21:42:45.040Z,"70km SE of Yonakuni, Japan",earthquake,7.5,5.2,0.069,20,reviewed,us,us
2020-03-30T15:42:33.299Z,36.6874,71.1079,212.2,4.9,mww,,61,2.085,0.66,us,us70008in9,2020-03-31T03:29:19.272Z,"31km SE of Jarm, Afghanistan",earthquake,7.3,6.5,0.071,19,reviewed,us,us
2020-03-30T14:53:34.109Z,-26.9761,-71.2821,10,4.8,mb,,154,0.406,1.02,us,us70008imv,2020-03-30T16:19:26.040Z,"103km WNW of Copiapo, Chile",earthquake,5.4,1.9,0.149,14,reviewed,us,us
2020-03-30T14:47:43.044Z,82.8326,-27.2003,10,4.6,mb,,101,7.169,0.42,us,us70008imu,2020-03-30T15:32:46.040Z,"187km NW of Nord, Greenland",earthquake,10.4,1.9,0.047,135,reviewed,us,us
2020-03-30T09:09:05.842Z,0.2902,-77.6812,128,5.2,mww,,43,0.771,0.65,us,us70008ikp,2020-03-31T09:10:50.120Z,"34km ESE of Pimampiro, Ecuador",earthquake,7.5,4.7,0.041,56,reviewed,us,us
2020-03-30T08:21:14.730Z,53.5564,-166.1006,87.62,4.8,mb,,136,0.376,1.26,us,us70008ik0,2020-03-31T05:56:55.189Z,"45km SE of Unalaska, Alaska",earthquake,7.9,5.6,0.045,151,reviewed,us,us
2020-03-30T06:44:27.043Z,-56.0921,-60.163,10,4.9,mb,,102,4.401,0.92,us,us70008iiz,2020-03-30T07:14:57.040Z,"Drake Passage",earthquake,8.9,1.8,0.079,51,reviewed,us,us
2020-03-30T05:08:26.764Z,16.9003,-98.4343,35,4.7,mb,,156,0.67,0.93,us,us70008iib,2020-03-31T03:12:26.184Z,"23km WNW of Xochistlahuaca, Mexico",earthquake,6.3,2,0.028,400,reviewed,us,us
2020-03-30T03:42:42.749Z,-0.2922,-80.0327,10,4.5,mb,,287,22.415,0.3,us,us70008ihp,2020-03-30T04:11:19.040Z,"41km S of Pedernales, Ecuador",earthquake,24.2,2,0.088,38,reviewed,us,us
2020-03-29T20:26:00.328Z,13.6286,-91.3701,10,4.6,mb,,196,0.944,1.16,us,us70008iee,2020-03-30T06:59:25.239Z,"61km SW of La Gomera, Guatemala",earthquake,7.6,2,0.051,113,reviewed,us,us
2020-03-29T18:19:13.508Z,-21.3862,169.4617,10,5.6,mww,,100,1.336,0.98,us,us70008ide,2020-03-30T18:21:16.994Z,"164km E of Tadine, New Caledonia",earthquake,9.5,1.9,0.075,17,reviewed,us,us
2020-03-29T18:02:40.982Z,31.01,-41.3462,10,5.1,mb,,112,21.935,1.18,us,us70008id7,2020-03-29T18:15:39.040Z,"Northern Mid-Atlantic Ridge",earthquake,14,1.9,0.066,74,reviewed,us,us
2020-03-29T13:33:47.812Z,-23.9723,-174.5516,10,5,mb,,127,6.058,0.77,us,us70008iap,2020-03-29T16:37:53.040Z,"295km S of `Ohonua, Tonga",earthquake,9.4,1.8,0.065,80,reviewed,us,us
2020-03-29T04:41:09.256Z,41.1856,72.8924,10,4.5,mb,,46,0.153,0.99,us,us70008i4c,2020-03-29T04:59:10.040Z,"20km NE of Bazar-Korgon, Kyrgyzstan",earthquake,3.8,1.9,0.079,47,reviewed,us,us
2020-03-29T04:34:25.542Z,37.2209,20.5777,10,4.5,mb,,138,1.076,1.15,us,us70008i45,2020-03-29T04:50:33.040Z,"59km SSW of Lithakia, Greece",earthquake,5.6,2,0.221,6,reviewed,us,us
2020-03-29T04:06:07.936Z,-58.626,-25.2427,35,4.9,mb,,83,7.595,0.54,us,us70008i3j,2020-03-29T04:24:41.040Z,"86km ENE of Bristol Island, South Sandwich Islands",earthquake,6.1,1.9,0.067,69,reviewed,us,us
